emoji,hex,r,g,b,l,a_val,b_val
💓,1F493,235,84,144,58.07,63.3,-1.0
💔,1F494,238,69,58,54.87,63.68,44.23
💕,1F495,236,83,144,58.1,63.9,-0.94
💖,1F496,239,103,131,61.34,54.67,11.34
💗,1F497,224,47,114,50.78,69.73,5.98
💘,1F498,239,104,118,61.2,53.44,18.19
💙,1F499,28,115,205,48.06,8.69,-53.49
💚,1F49A,125,179,69,67.16,-35.94,49.29
💛,1F49B,253,202,48,83.56,4.98,76.61
💜,1F49C,170,71,188,47.83,56.7,-43.25
💝,1F49D,242,129,109,66.4,41.34,30.55
💞,1F49E,240,103,157,62.17,57.92,-2.47
💟,1F49F,194,129,206,62.93,37.74,-29.76
💠,1F4A0,40,174,237,67.12,-13.27,-41.04
💡,1F4A1,224,204,57,81.45,-8.47,70.81
💢,1F4A2,244,67,54,55.6,66.01,47.67
💣,1F4A3,107,95,77,41.01,1.46,11.85
💤,1F4A4,23,107,198,45.32,10.61,-53.97
💥,1F4A5,252,157,52,72.87,27.74,65.71
💦,1F4A6,86,198,247,75.4,-16.75,-33.91
💧,1F4A7,86,196,245,74.76,-16.41,-33.88
💨,1F4A8,181,221,241,85.93,-8.75,-14.06
💩,1F4A9,144,103,84,47.29,13.92,17.03
💪,1F4AA,247,183,28,78.43,11.4,77.09
💫,1F4AB,254,202,33,83.58,4.67,80.42
💬,1F4AC,191,191,192,77.43,-0.22,-0.36
💭,1F4AD,195,195,195,78.94,-0.0,0.0
💮,1F4AE,255,217,228,89.98,15.12,-0.56
💯,1F4AF,244,67,54,55.6,66.01,47.67
💰,1F4B0,229,179,44,75.65,6.12,69.96
💱,1F4B1,64,121,90,46.29,-26.6,11.28
💲,1F4B2,17,163,69,58.76,-55.58,38.45
💳,1F4B3,211,171,51,71.81,2.95,63.53
💴,1F4B4,228,181,111,76.55,8.25,42.22
💵,1F4B5,122,183,109,68.72,-33.61,31.15
💶,1F4B6,83,174,219,67.43,-13.65,-30.85
💷,1F4B7,182,156,204,68.04,18.67,-21.13
💸,1F4B8,142,187,135,71.62,-25.0,21.81
💹,1F4B9,138,184,88,69.84,-31.88,43.64
💺,1F4BA,76,115,170,48.0,2.47,-33.44
💻,1F4BB,131,153,161,61.72,-6.0,-6.68
💼,1F4BC,124,72,46,36.15,19.71,24.56
💽,1F4BD,158,179,181,71.31,-6.58,-3.77
