emoji,hex,r,g,b,l,a_val,b_val
🍆,1F346,160,87,161,48.21,41.26,-27.3
🍇,1F347,163,99,177,51.75,38.85,-31.29
🍈,1F348,173,213,93,80.33,-31.1,53.98
🍉,1F349,254,109,117,64.39,55.73,23.52
🍊,1F34A,255,141,1,69.73,36.08,75.5
🍋,1F34B,252,194,26,81.56,7.67,80.17
🍌,1F34C,255,229,180,91.96,1.73,26.95
🍍,1F34D,255,190,31,80.84,11.0,78.58
🍎,1F34E,177,35,38,39.06,55.42,35.39
🍏,1F34F,135,194,68,72.4,-39.03,55.41
🍐,1F350,184,210,24,79.8,-29.25,76.51
🍑,1F351,254,150,89,71.9,34.26,48.2
🍒,1F352,200,14,33,42.21,65.69,42.52
🍓,1F353,254,44,37,55.18,74.9,56.31
🍔,1F354,227,183,51,76.37,3.61,68.13
🍕,1F355,254,204,138,85.05,9.75,39.66
🍖,1F356,208,113,31,57.24,32.2,57.19
🍗,1F357,210,120,86,59.81,32.02,33.91
🍘,1F358,62,61,61,25.85,0.05,0.34
🍙,1F359,253,253,253,99.25,-0.02,0.1
🍚,1F35A,254,254,254,99.54,-0.05,0.04
🍛,1F35B,251,251,250,98.55,-0.04,0.38
🍜,1F35C,235,231,230,92.01,1.15,1.1
🍝,1F35D,237,236,235,93.57,-0.0,0.82
🍞,1F35E,254,234,200,93.49,1.82,18.98
🍟,1F35F,250,39,36,53.97,74.85,55.64
🍠,1F360,212,88,139,54.8,53.86,-3.33
🍡,1F361,254,238,211,94.73,1.41,14.86
🍢,1F362,245,201,122,83.38,6.03,45.3
🍣,1F363,253,108,98,63.84,54.68,33.59
🍤,1F364,252,193,26,81.18,8.35,79.79
🍥,1F365,254,253,254,99.46,0.13,-0.15
🍦,1F366,254,237,206,94.41,1.05,17.14
🍧,1F367,223,219,220,87.76,1.49,-0.05
🍨,1F368,173,199,205,78.43,-7.26,-6.05
🍩,1F369,138,93,80,43.88,16.56,15.07
🍪,1F36A,234,148,79,68.92,26.38,49.18
🍫,1F36B,212,12,38,44.88,69.16,43.7
🍬,1F36C,235,234,234,92.9,0.19,0.05
🍭,1F36D,246,227,55,89.32,-10.73,79.3
🍮,1F36E,239,239,239,94.49,-0.01,0.31
🍯,1F36F,224,128,19,62.86,30.78,66.01
🍰,1F370,252,159,51,73.43,26.39,66.59
🍱,1F371,94,94,92,39.96,-0.51,1.29
🍲,1F372,109,111,111,46.82,-0.87,0.01
🍳,1F373,107,108,111,45.79,-0.03,-1.27
🍴,1F374,202,202,202,81.4,-0.0,0.0
🍵,1F375,187,206,211,81.54,-5.58,-4.46
🍶,1F376,225,226,227,89.96,-0.36,-0.22
🍷,1F377,229,229,229,91.05,-0.11,-0.02
🍸,1F378,235,234,231,92.78,-0.4,1.61
🍹,1F379,225,194,161,80.39,6.15,20.83
🍺,1F37A,234,152,18,69.44,21.85,71.67
🍻,1F37B,244,240,232,95.02,-0.07,4.26
🍼,1F37C,245,243,232,95.82,-1.34,5.62
🍽,1F37D,247,247,247,97.11,-0.0,0.0
🍾,1F37E,59,112,44,42.29,-31.62,31.64
🍿,1F37F,237,64,37,53.83,64.58,53.89
🎀,1F380,254,96,94,61.89,60.12,33.42
🎁,1F381,231,33,34,49.76,70.97,51.29
🎂,1F382,254,230,192,92.26,2.51,21.33
🎃,1F383,247,128,0,65.81,39.63,72.65
🎄,1F384,11,151,54,54.56,-54.14,40.95
🎅,1F385,242,241,240,95.31,0.09,0.78
🎆,1F386,11,73,148,31.75,12.03,-46.21
🎇,1F387,65,33,25,16.85,14.92,12.09
🎈,1F388,245,67,54,55.79,66.12,47.74
🎉,1F389,253,180,9,78.14,15.64,80.05
🎊,1F38A,253,190,11,80.6,10.06,81.59
🎋,1F38B,126,192,34,71.16,-43.64,65.59
🎌,1F38C,252,251,251,98.81,0.22,0.04
🎍,1F38D,245,215,151,86.97,1.76,35.41
🎎,1F38E,38,46,88,20.35,10.46,-26.74
🎏,1F38F,13,118,169,46.75,-8.04,-34.68
🎐,1F390,124,216,254,82.0,-17.29,-27.06
🎑,1F391,46,50,147,26.73,30.75,-53.91
🎒,1F392,244,69,55,55.8,65.46,47.36
🎓,1F393,67,67,66,28.22,0.0,0.06
🎖,1F396,251,185,38,79.24,12.04,75.46
🎗,1F397,255,213,79,86.65,1.14,68.89
🎙,1F399,131,176,193,69.14,-10.95,-13.43
🎚,1F39A,188,188,188,76.4,0.0,0.0
🎛,1F39B,189,189,189,76.56,-0.02,-0.02
🎞,1F39E,184,134,96,60.08,14.53,28.33
🎟,1F39F,239,109,103,61.89,49.55,27.94
🎠,1F3A0,152,123,175,55.96,21.66,-23.44
🎡,1F3A1,207,203,204,82.01,1.72,0.04
🎢,1F3A2,231,52,45,51.42,66.76,47.27
🎣,1F3A3,67,116,125,45.78,-13.96,-10.14
🎤,1F3A4,102,102,102,43.28,-0.04,-0.07
🎥,1F3A5,80,79,79,33.59,0.39,0.14
🎦,1F3A6,253,147,1,70.73,32.75,76.07
🎧,1F3A7,98,98,98,41.62,-0.0,0.0
